fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
8.1,0.3,0.31,1.1,0.041,49,123,0.9914,2.99,0.45,11.1,6
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
7.6,0.37,0.34,3.2,0.028,42,162,0.9903,3.01,0.33,12.4,6
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,7
